country_code,postal_code,place_name,state_name,state_code,county_name,county_code,community_name,community_code,latitude,longitude,accuracy
NL,1394,Nederhorst den Berg,Noord-Holland,7,Wijdemeren,1696,,,52.2585,5.0502,6.0
NL,1396,Baambrugge,Utrecht,9,De Ronde Venen,736,,,52.2469,4.9904,6.0
NL,1398,Muiden,Noord-Holland,7,Gooise Meren,1942,,,52.3308,5.0662,6.0
NL,1399,Muiderberg,Noord-Holland,7,Gooise Meren,1942,,,52.3246,5.1193,6.0
NL,1401,Bussum,Noord-Holland,7,Gooise Meren,1942,,,52.2781,5.1699,6.0
NL,1402,Bussum,Noord-Holland,7,Gooise Meren,1942,,,52.2719,5.1742,6.0
NL,1403,Bussum,Noord-Holland,7,Gooise Meren,1942,,,52.2666,5.1802,6.0
NL,1404,Bussum,Noord-Holland,7,Gooise Meren,1942,,,52.2757,5.1621,6.0
NL,1405,Bussum,Noord-Holland,7,Gooise Meren,1942,,,52.2768,5.1523,6.0
NL,1406,Bussum,Noord-Holland,7,Gooise Meren,1942,,,52.2697,5.1551,6.0
NL,1411,Naarden,Noord-Holland,7,Gooise Meren,1942,,,52.2966,5.1584,6.0
NL,1412,Naarden,Noord-Holland,7,Gooise Meren,1942,,,52.285,5.1563,6.0
NL,1421,Uithoorn,Noord-Holland,7,Uithoorn,451,,,52.2389,4.823,6.0
NL,1422,Uithoorn,Noord-Holland,7,Uithoorn,451,,,52.2472,4.8251,6.0
NL,1423,Uithoorn,Noord-Holland,7,Uithoorn,451,,,52.2334,4.8165,6.0
NL,1424,De Kwakel,Noord-Holland,7,Uithoorn,451,,,52.2391,4.7886,6.0
NL,1426,de Hoef,Utrecht,9,De Ronde Venen,736,,,52.2082,4.8172,6.0
NL,1427,Amstelhoek,Utrecht,9,De Ronde Venen,736,,,52.2313,4.8336,6.0
NL,1428,Vrouwenakker,Zuid-Holland,11,Nieuwkoop,569,,,52.2273,4.7866,6.0
NL,1431,Aalsmeer,Noord-Holland,7,Aalsmeer,358,,,52.2629,4.7569,6.0
NL,1432,Aalsmeer,Noord-Holland,7,Aalsmeer,358,,,52.278,4.7961,6.0
NL,1433,Kudelstaart,Noord-Holland,7,Aalsmeer,358,,,52.2351,4.7513,6.0
NL,1435,Rijsenhout,Noord-Holland,7,Haarlemmermeer,394,,,52.2596,4.7125,6.0
NL,1436,Aalsmeerderbrug,Noord-Holland,7,Haarlemmermeer,394,,,52.2741,4.7532,6.0
NL,1437,Rozenburg,Noord-Holland,7,Haarlemmermeer,394,,,52.2802,4.7347,6.0
